Resistance kOhm,Reported Temp *C
4.63,43
4.77,42
4.93,41
5.07,41
5.23,40
5.43,39
5.59,38
5.79,37
6.23,36
6.54,34
6.71,34
6.97,33
7.2,32
7.37,32
7.62,31
7.85,30
8.04,29
8.32,29
8.59,28
8.98,27
9.34,26
9.61,25
9.86,25
10.09,24
10.33,24
10.47,23.5
10.62,23
10.96,22
11.26,22
11.6,21
12.01,20
12.32,20
12.68,19
13.11,18
13.39,18
13.58,18
13.74,17
13.99,17
14.36,16.5
14.85,16
15.25,15
15.55,15
15.87,14
16.35,14
16.67,13
17.18,13
17.48,12
17.93,12
18.29,11
18.55,11
18.9,11
19.48,11
19.96,10.5
20.41,10
20.99,9.5
21.5,9
22.06,8.5
22.56,8
23.03,8
23.55,7
24,7
24.48,6
24.96,6
25.41,5
26.02,5
26.49,5
27.09,4
27.67,4
28.2,3.5
28.71,3
29.48,3
29.99,2
30.48,2
30.9,2
31.44,1
31.91,1
32.28,1
32.61,1
33.01,0
